Symbol,short_name,industry
YEG,Tập đoàn Yeah1,Truyền thông
VTO,VITACO,Hàng & Dịch vụ Công nghiệp
VSH,Thủy điện Vĩnh Sơn - Sông Hinh,"Điện, nước & xăng dầu khí đốt"
VSC,VICONSHIP,Hàng & Dịch vụ Công nghiệp
VRE,Vincom Retail,Bất động sản
VRC,Bất động sản và Đầu tư VRC,Bất động sản
VPI,Đầu tư Văn Phú - Invest,Bất động sản
VPH,Vạn Phát Hưng,Bất động sản
VPG,Đầu tư TMại XNK Việt Phát,Tài nguyên Cơ bản
VPB,VPBank,Ngân hàng
VOS,Vận tải Biển Việt Nam,Hàng & Dịch vụ Công nghiệp
VNS,Ánh Dương Việt Nam,Du lịch và Giải trí
VNM,VINAMILK,Thực phẩm và đồ uống
VNL,Vinalink Logistics,Hàng & Dịch vụ Công nghiệp
VNG,DL Thành Thành Công,Du lịch và Giải trí
VNE,Xây dựng điện Việt Nam,Xây dựng và Vật liệu
VJC,Vietjet Air,Du lịch và Giải trí
VIP,Vận tải Xăng dầu VIPCO,Hàng & Dịch vụ Công nghiệp
VID,Viễn Đông,Tài nguyên Cơ bản
VIC,VinGroup,Bất động sản
VIB,VIBBank,Ngân hàng
VHM,Vinhomes,Bất động sản
VHC,Thủy sản Vĩnh Hoàn,Thực phẩm và đồ uống
VGC,Tổng Công ty Viglacera,Xây dựng và Vật liệu
VDS,Chứng khoán Rồng Việt,Dịch vụ tài chính
VCI,Chứng khoán Vietcap,Dịch vụ tài chính
VCG,VINACONEX,Xây dựng và Vật liệu
VCB,Vietcombank,Ngân hàng
TVS,Chứng khoán Thiên Việt,Dịch vụ tài chính
TV2,Tư vấn XD Điện 2,Hàng & Dịch vụ Công nghiệp
TTF,Gỗ Trường Thành,Tài nguyên Cơ bản
TTA,XD và PT Trường Thành,"Điện, nước & xăng dầu khí đốt"
TSC,Kỹ thuật NN Cần Thơ,Hóa chất
TRC,Cao su Tây Ninh,Hóa chất
TPB,TPBank,Ngân hàng
TNT,Tập đoàn TNT,Tài nguyên Cơ bản
TNI,Tập đoàn Thành Nam,Tài nguyên Cơ bản
TMT,Ô tô TMT,Ô tô và phụ tùng
TLH,Thép Tiến Lên,Tài nguyên Cơ bản
TLG,Tập đoàn Thiên Long,Hàng cá nhân & Gia dụng
TLD,ĐT XD và PT Đô thị Thăng Long,Bất động sản
TIP,PT KCN Tín Nghĩa,Bất động sản
THG,XD Tiền Giang,Xây dựng và Vật liệu
TEG,TECGROUP,Bất động sản
TDP,Công ty Thuận Đức,Hàng & Dịch vụ Công nghiệp
TDH,Thủ Đức House,Bất động sản
TDG,Đầu tư TDG Global,"Điện, nước & xăng dầu khí đốt"
TDC,Becamex TDC,Bất động sản
TCT,Cáp treo Tây Ninh,Du lịch và Giải trí
TCO,TCO Holdings,Hàng & Dịch vụ Công nghiệp
TCM,Dệt may Thành Công,Hàng cá nhân & Gia dụng
TCL,Tan Cang Logistics,Hàng & Dịch vụ Công nghiệp
TCH,ĐT DV Tài chính Hoàng Huy,Bất động sản
TCD,Tập đoàn Xây dựng Tracodi,Xây dựng và Vật liệu
TCB,Techcombank,Ngân hàng
SZL,Sonadezi Long Thành,Bất động sản
SZC,Sonadezi Châu Đức,Bất động sản
SVT,Công nghệ SG Viễn Đông,Tài nguyên Cơ bản
STK,Sợi Thế Kỷ,Hàng cá nhân & Gia dụng
STB,Sacombank,Ngân hàng
ST8,Tập đoàn ST8,Công nghệ Thông tin
SSI,Chứng khoán SSI,Dịch vụ tài chính
SMC,Đầu tư Thương mại SMC,Tài nguyên Cơ bản
SMB,Bia Sài Gòn - Miền Trung,Thực phẩm và đồ uống
SKG,Tàu Cao tốc Superdong,Du lịch và Giải trí
SJS,SJ Group,Bất động sản
SJD,Thủy điện Cần Đơn,"Điện, nước & xăng dầu khí đốt"
SHP,Thủy điện Miền Nam,"Điện, nước & xăng dầu khí đốt"
SHI,Quốc tế Sơn Hà,Tài nguyên Cơ bản
SGT,Sài Gòn Telecom,Công nghệ Thông tin
SGR,Địa ốc Sài Gòn,Bất động sản
SGN,Phục vụ mặt đất Sài Gòn,Hàng & Dịch vụ Công nghiệp
SCS,DV Hàng hóa Sài Gòn,Du lịch và Giải trí
SCR,TTC Land,Bất động sản
SBT,Mía đường Thành Thành Công - Biên Hòa,Thực phẩm và đồ uống
SBA,Sông Ba JSC,"Điện, nước & xăng dầu khí đốt"
SAV,Savimex,Tài nguyên Cơ bản
SAM,SAM Holdings,Công nghệ Thông tin
SAB,SABECO,Thực phẩm và đồ uống
REE,Cơ Điện Lạnh REE,"Điện, nước & xăng dầu khí đốt"
RDP,Nhựa Rạng Đông,Hóa chất
RAL,Bóng đèn Phích nước Rạng Đông,Hàng cá nhân & Gia dụng
QCG,Quốc Cường Gia Lai,Bất động sản
PVT,Vận tải Dầu khí PVTrans,Hàng & Dịch vụ Công nghiệp
PVD,Khoan Dầu khí PVDrilling,Dầu khí
PTL,Victory Capital,Bất động sản
PTC,Đầu tư ICAPITAL,Xây dựng và Vật liệu
PTB,Công ty Cổ phần Phú Tài,Tài nguyên Cơ bản
PSH,TMại ĐT Dầu khí Nam Sông Hậu,"Điện, nước & xăng dầu khí đốt"
PPC,Nhiệt điện Phả Lại,"Điện, nước & xăng dầu khí đốt"
POW,Điện lực Dầu khí Việt Nam,"Điện, nước & xăng dầu khí đốt"
PNJ,Vàng Phú Nhuận,Hàng cá nhân & Gia dụng
PNC,Văn hóa Phương Nam,Truyền thông
PLX,Petrolimex,Dầu khí
PHR,Cao su Phước Hòa,Hóa chất
PHC,Xây dựng Phục Hưng Holdings,Xây dựng và Vật liệu
PGC,Gas Petrolimex,"Điện, nước & xăng dầu khí đốt"
PET,Dịch vụ Tổng hợp Dầu khí,Bán lẻ
PDR,BĐS Phát Đạt,Bất động sản
PC1,Tập đoàn PC1,Xây dựng và Vật liệu
