Symbol,ceiling,floor,ref_price,prior_close_price,match_price,match_vol,accumulated_volume,accumulated_value,avg_match_price,highest,lowest,foreign_buy_volume,foreign_sell_volume,current_room,total_room,total_accumulated_value,total_accumulated_volume,reference_price
YEG,9920,8640,9280,9280,9290,66600,2280400,21479,9418.961585686722,9620,9200,238200,17800,63196556,67130712,21479.74200000003,22804.0,9280.0
YBM,11750,10250,11000,11000,0,0,0,0,0.0,0,0,0,0,6964995,7006941,0.0,0.0,11200.0
VTP,81100,70500,75800,75800,76100,10400,527500,40322,76439.81042654028,77800,74900,1700,5300,51329971,59673690,40322.29999999996,5275.0,75800.0
VTO,13600,11900,12750,12750,12600,35700,197000,2495,12664.97461928934,12800,12600,0,1800,28198813,39134666,2495.5000000000014,1970.0,12750.0
VTB,10800,9400,10100,10100,10300,100,200,2,10200.0,10300,10100,0,0,5663285,5871204,2.04,2.0,10100.0
VSI,20300,17700,19000,19000,19000,100,100,1,19000.0,19000,19000,0,0,6345784,6468000,1.9,1.0,19000.0
VSH,53900,46900,50400,50400,50200,2000,3800,191,50263.15789473684,51600,50200,800,0,87429661,115758210,191.57,38.0,50400.0
VSC,18350,15950,17150,17150,17100,70600,1099600,18814,17109.858130229175,17200,17050,2000,43600,124567620,130727729,18814.10499999998,10996.0,17150.0
VRE,19950,17350,18650,18650,18300,785900,9504200,175469,18462.25879085036,18650,18250,64400,3424135,632087470,1141121020,175469.24999999773,95042.0,18650.0
VRC,8560,7440,8000,8000,7950,100,7700,58,7532.467532467533,8000,7500,0,0,24418125,24500000,58.61900000000001,77.0,8000.0
VPS,9840,8560,9200,9200,9500,2000,2000,19,9500.0,9500,9500,0,0,11977173,11985788,19.0,20.0,9200.0
VPI,60800,53000,56900,56900,56500,12000,1041800,59020,56651.94855058553,56800,56400,0,22382,137339165,142295698,59020.50000000005,10418.0,56900.0
VPH,9280,8080,8680,8680,8680,1200,95100,818,8601.472134595164,8700,8570,0,0,46219742,46725322,818.933,951.0,8680.0
VPG,14400,12600,13500,13500,13400,38100,310600,4168,13419.188667095943,13600,13350,0,16100,43101516,43323717,4168.22,3106.0,13500.0
VPD,28850,25150,27000,27000,26800,100,1200,32,26800.000000000004,26800,26800,0,0,20121774,53294814,32.160000000000004,12.0,27000.0
VPB,21400,18600,20000,20000,20000,3182300,34247700,692614,20223.664654852735,20450,19950,4676900,5439098,373159488,2380177080,692614.8850000271,342477.0,20000.0
VOS,16450,14350,15400,15400,15200,63800,1456300,22194,15239.991759939572,15400,15150,0,97100,67128510,68600000,22194.255000000092,14563.0,15400.0
VNS,11000,9580,10300,10300,10200,100,9800,100,10204.081632653062,10250,10200,7300,35,23786259,33251004,100.08500000000001,98.0,10300.0
VNM,75200,65400,70300,70300,68500,704900,6134000,424391,69186.66449298989,70500,68400,1077410,1863557,1005304836,2089955445,424391.4600000043,61340.0,70300.0
VNL,17250,15050,16150,16150,16050,300,4000,64,16050.0,16050,16050,0,0,5150335,6928838,64.2,40.0,16150.0
VNG,8750,7610,8180,8180,8100,2000,8600,69,8118.837209302326,8200,8100,0,0,47288761,47665537,69.822,86.0,8180.0
VNE,4380,3820,4100,4100,4100,1100,31800,130,4113.0817610062895,4130,4090,4500,500,42116971,44312146,130.79600000000002,318.0,4100.0
VND,15800,13800,14800,14800,14650,1174200,14280700,210953,14771.894935122227,14950,14650,236200,1011195,1330288663,1522299908,210953.5650000074,142807.0,14800.0
VMD,19250,16750,18000,18000,18500,100,500,9,18200.0,18500,18100,0,0,7344460,7565731,9.1,5.0,18000.0
VJC,112800,98200,105500,105500,105300,37100,738600,77781,105308.69212022745,105700,104800,3000,10491,89625908,162483400,77781.56000000008,7386.0,105500.0
VIX,12650,11050,11850,11850,11800,624400,14097600,166866,11836.48280558393,11950,11750,588200,31299,645580283,669444725,166866.88999999588,140976.0,11850.0
VIP,14050,12250,13150,13150,13200,17100,245600,3265,13293.973941368078,13800,13000,1400,2800,26246603,33550761,3265.6499999999983,2456.0,13150.0
