Symbol,ceiling,floor,ref_price,prior_close_price,match_price,match_vol,accumulated_volume,accumulated_value,avg_match_price,highest,lowest,foreign_buy_volume,foreign_sell_volume,current_room,total_room,total_accumulated_value,total_accumulated_volume,reference_price
YEG,9840,8560,9200,9200,9300,52000,1612500,14879,9227.286821705426,9350,9110,224800,39200,62998156,67130712,14879.805000000017,16125.0,9200.0
YBM,11750,10250,11000,11000,11500,100,300,3,11666.666666666668,11750,11500,0,0,6965395,7006941,3.5,3.0,11000.0
VTP,81800,71200,76500,76500,81800,7500,2924500,235937,80676.01299367413,81800,76500,368600,66600,51065271,59673690,235937.699999998,29245.0,76500.0
VTO,13550,11850,12700,12700,12700,1000,129300,1635,12645.011600928074,12750,12600,0,0,28341113,39134666,1635.4999999999998,1293.0,12700.0
VTB,11150,9720,10450,10450,10450,100,4900,50,10254.081632653062,10450,10250,0,0,5663285,5871204,50.245,49.0,10450.0
VSI,20300,17700,19000,19000,0,0,0,0,0.0,0,0,0,0,6345784,6468000,0.0,0.0,19000.0
VSH,53800,46800,50300,50300,51000,100,61900,3128,50533.11793214863,52700,50300,0,4400,87437761,115758210,3128.5599999999995,619.0,50300.0
VSC,18500,16100,17300,17300,17400,65400,1122300,19522,17394.636015325672,17500,17300,100,16400,124634320,130727729,19522.31999999999,11223.0,17300.0
VRE,19600,17100,18350,18350,18500,336300,3292200,60654,18423.546564607255,18500,18250,193400,823900,637468375,1141121020,60654.7849999998,32922.0,18350.0
VRC,8450,7350,7900,7900,7890,100,4600,36,7826.086956521739,7900,7510,0,1100,24421425,24500000,36.02,46.0,7900.0
VPS,10150,8840,9500,9500,9310,100,1700,15,9408.235294117647,10150,9300,0,0,11977173,11985788,15.994,17.0,9500.0
VPI,60300,52500,56400,56400,56400,35400,1570500,88559,56389.04807386183,56600,56100,7200,20300,137461953,142295698,88559.34,15705.0,56400.0
VPH,9360,8140,8750,8750,8800,4300,69500,605,8705.035971223022,8800,8660,0,0,46219342,46725322,605.0150000000001,695.0,8750.0
VPG,14400,12600,13500,13500,13900,79200,640900,8762,13671.399594320486,13900,13500,23300,0,43097716,43323717,8762.624999999993,6409.0,13500.0
VPD,28750,25050,26900,26900,26700,400,5000,133,26792.000000000004,26800,26700,0,0,20121774,53294814,133.96,50.0,26900.0
VPB,21500,18700,20100,20100,20250,4530700,49592300,999857,20161.537174117755,20300,20000,5167400,19244302,385290386,2380177080,999857.5550000134,495923.0,20100.0
VOS,16450,14350,15400,15400,15400,36700,666400,10300,15456.182472989196,15650,15400,0,600,67479110,68600000,10300.090000000015,6664.0,15400.0
VNS,10900,9490,10200,10200,10250,200,400,4,10225.0,10250,10200,0,0,23798614,33251004,4.09,4.0,10200.0
VNM,72900,63500,68200,68200,67800,186400,3527900,240002,68029.70605742793,68600,67800,1507200,953939,1004379130,2089955445,240002.19999999783,35279.0,68200.0
VNL,16650,14550,15600,15600,15750,100,900,14,15716.666666666668,16100,15600,0,0,5150235,6928838,14.145000000000001,9.0,15600.0
VNG,8650,7530,8090,8090,8030,100,3400,27,8052.058823529412,8080,8030,0,0,47288761,47665537,27.377,34.0,8090.0
VNE,4380,3820,4100,4100,4090,200,23500,94,4040.382978723405,4100,4030,4100,0,42131271,44312146,94.94900000000001,235.0,4100.0
VND,15850,13850,14850,14850,15200,655800,16764800,253316,15109.992364955144,15350,14850,1157300,109000,1332203113,1522299908,253316.14000000013,167648.0,14850.0
VMD,19600,17100,18350,18350,18300,2300,5300,96,18113.20754716981,18300,18100,0,0,7345460,7565731,96.41,53.0,18350.0
VJC,112100,97500,104800,104800,105600,22900,890700,93306,104755.81003704951,105900,104100,66800,30700,89579276,162483400,93306.21000000011,8907.0,104800.0
VIX,12800,11200,12000,12000,12050,572200,18933100,227969,12040.764586887515,12200,11900,823200,614800,642655620,669444725,227969.85499999637,189331.0,12000.0
VIP,14000,12200,13100,13100,13150,2500,45200,594,13141.592920353982,13250,13100,3100,0,26361403,33550761,594.9699999999998,452.0,13100.0
VID,5790,5050,5420,5420,5410,100,100,0,5410.0,5410,5410,0,0,20096216,20418034,0.541,1.0,5420.0
VIC,43750,38050,40900,40900,41600,75300,1210800,50025,41315.65906838454,41600,41000,163900,69561,1466616769,1862402462,50025.80999999989,12108.0,40900.0
VIB,20500,17900,19200,19200,19200,527500,12384900,238223,19234.95546996746,19350,19150,0,0,0,148658477,238223.85500000013,123849.0,19200.0
VHM,44500,38700,41600,41600,42500,404800,6742900,284617,42209.880021949015,42550,41600,1209809,215892,1571106075,2177183744,284617.56,67429.0,41600.0
VHC,75200,65400,70300,70300,71500,16800,461300,32924,71372.2089746369,71600,70500,33800,56440,158800992,224453159,32924.719999999856,4613.0,70300.0
VGC,45700,39800,42750,42750,43700,51800,1170400,50640,43267.25905673274,43700,42750,231600,36700,202282517,219691500,50640.719999999885,11704.0,42750.0
VFG,75100,65300,70200,70200,71100,4100,13000,921,70846.15384615384,71100,70200,0,3900,20367097,21274453,921.7699999999999,130.0,70200.0
VDS,23200,20200,21700,21700,21650,92900,2731000,58740,21508.60490662761,21800,21350,12900,297300,239345691,243000000,58740.68999999979,27310.0,21700.0
VDP,35300,30700,33000,33000,32500,100,2300,75,32608.695652173912,33300,32500,0,0,0,0,75.97,23.0,33000.0
VCI,39900,34700,37300,37300,37400,523400,7245200,270719,37365.29012311599,37750,37150,729700,127400,462339333,574469480,270719.23500000103,72452.0,37300.0
VCG,19550,17050,18300,18300,18600,132300,2489300,46185,18553.408588759892,18650,18400,4300,59100,246309238,293310794,46185.12999999995,24893.0,18300.0
VCF,226800,197200,212000,212000,216400,100,1100,233,212581.81818181815,216400,212000,0,0,12876256,13023776,233.83999999999997,11.0,212000.0
VCB,97900,85100,91500,91500,91000,212600,2175700,198275,91131.58983315715,91800,90900,1498300,1875525,369210887,1676727378,198275.58999999927,21757.0,91500.0
VCA,9360,8140,8750,8750,8990,100,700,6,8571.42857142857,8990,8560,0,0,0,0,6.13,7.0,8750.0
VAF,15350,13350,14350,14350,14200,100,5500,80,14545.454545454546,15350,14200,0,0,18442486,18456020,80.72,55.0,14350.0
UIC,41400,36000,38700,38700,39200,200,8200,319,38902.439024390245,39200,38900,0,0,0,0,319.73999999999995,82.0,38700.0
TYA,13800,12000,12900,12900,12700,100,1400,17,12700.0,12700,12700,0,300,3787463,6134773,17.78,14.0,12900.0
TVT,17100,14900,16000,16000,16050,100,5700,90,15955.26315789474,16100,15900,0,0,0,0,90.94500000000002,57.0,16000.0
TVS,24050,20950,22500,22500,22500,4300,22000,496,22545.454545454544,22650,22400,0,200,44164564,81827684,496.06999999999994,220.0,22500.0
TVB,9840,8560,9200,9200,9200,1100,86800,796,9170.506912442397,9210,9130,0,3500,31688218,33629105,796.766,868.0,9200.0
TV2,31950,27850,29900,29900,29850,6300,177300,5293,29853.355893965032,30100,29700,0,0,4820958,10128924,5293.500000000003,1773.0,29900.0
TTF,3320,2900,3110,3110,3110,41500,647100,2002,3093.803121619533,3120,3070,8100,100,182807753,205599151,2002.7439999999988,6471.0,3110.0
TTE,24550,21350,22950,22950,0,0,0,0,0.0,0,0,0,0,14243030,14245200,0.0,0.0,21900.0
TTA,10200,8890,9550,9550,9710,15000,259900,2509,9653.712966525587,9800,9540,20900,500,82137740,83328220,2509.495000000002,2599.0,9550.0
TSC,3000,2620,2810,2810,2840,400,223200,628,2813.620071684588,2880,2750,0,0,0,0,628.7580000000002,2232.0,2810.0
TRC,41400,36000,38700,38700,39000,300,9100,354,38901.0989010989,39000,38700,0,0,14131884,14700000,354.71000000000004,91.0,38700.0
TRA,82200,71600,76900,76900,77000,100,1500,115,77173.33333333333,77300,76900,1400,0,979164,20312299,115.76,15.0,76900.0
TPC,6630,5770,6200,6200,6580,1900,5000,32,6400.0,6580,5770,0,0,11545290,11970992,32.349,50.0,6200.0
TPB,18750,16350,17550,17550,17600,1051900,15086300,265033,17567.79329590423,17700,17400,381700,0,0,660490502,265033.3900000003,150863.0,17550.0
TNT,4440,3860,4150,4150,4140,7000,12600,51,4126.666666666667,4150,4090,100,0,24164141,24990000,51.996,126.0,4150.0
TNI,2460,2140,2300,2300,2310,1500,48700,113,2320.3285420944558,2350,2300,0,0,25657315,25725000,113.02400000000002,487.0,2300.0
TNH,23500,20500,22000,22000,22700,44600,1143700,25576,22362.507650607677,22700,21950,160700,6700,23535472,77122206,25576.344999999947,11437.0,22000.0
TNC,41000,35700,38350,38350,0,0,0,0,0.0,0,0,0,0,9517908,9625000,0.0,0.0,36900.0
TNA,4030,3510,3770,3770,0,0,0,0,0.0,0,0,0,0,23234412,24292369,0.0,0.0,0.0
TN1,11000,9580,10300,10300,10200,200,1000,10,10260.000000000002,10500,10200,0,0,27197011,27316174,10.260000000000002,10.0,10300.0
TMT,7200,6260,6730,6730,6770,900,28400,187,6584.507042253521,6800,6530,0,0,17312325,18270963,187.767,284.0,6730.0
TMS,48050,41850,44950,44950,0,0,0,0,0.0,0,0,0,0,10125128,77552558,0.0,0.0,44300.0
TMP,74200,64600,69400,69400,69500,100,2700,188,69629.62962962964,70000,69000,0,100,33751788,34300000,188.26,27.0,69400.0
TLH,5980,5200,5590,5590,5590,7500,241700,1354,5601.985932974762,5640,5580,100,9300,53883178,55036808,1354.0659999999993,2417.0,5590.0
TLG,55500,48300,51900,51900,52700,25900,269100,14163,52630.99219620959,53000,51900,5700,4800,63094675,78594453,14163.770000000082,2691.0,51900.0
TLD,5790,5050,5420,5420,5350,8600,40600,218,5369.458128078818,5430,5350,0,0,37606216,38093264,218.52200000000002,406.0,5420.0
TIX,36350,31650,34000,34000,34000,900,6400,217,34000.0,34000,34000,0,0,0,0,217.6,64.0,34000.0
TIP,24600,21400,23000,23000,23000,1600,99300,2286,23021.148036253777,23100,22900,0,0,21267346,32503928,2286.9550000000004,993.0,23000.0
THG,47750,41550,44650,44650,44550,100,4600,204,44519.565217391304,44650,44500,0,0,11952235,12711524,204.79,46.0,44650.0
TEG,9090,7910,8500,8500,8540,100,3300,27,8469.090909090908,8550,8420,0,0,52968873,59195215,27.947999999999993,33.0,8500.0
TDW,50300,43800,47050,47050,44050,100,100,4,44050.0,44050,44050,0,0,3991460,4250000,4.405,1.0,47050.0
TDP,36550,31850,34200,34200,33500,300,99700,3381,33911.73520561685,34500,33500,0,1080,44903378,44993347,3381.7900000000004,997.0,34200.0
TDM,53500,46500,50000,50000,50000,800,4700,234,49787.234042553195,50000,49700,0,0,51509597,55000000,234.95,47.0,50000.0
TDH,2840,2480,2660,2660,2640,600,81700,216,2643.818849449204,2680,2600,0,2000,54794550,56326383,216.36099999999985,817.0,2660.0
TDG,5450,4750,5100,5100,5100,100,95600,490,5125.523012552301,5150,5100,0,0,0,0,490.152,956.0,5100.0
TDC,10500,9150,9830,9830,9900,55500,257000,2520,9805.44747081712,9980,9730,0,452000,48941000,50000000,2520.971999999999,2570.0,9830.0
TCT,18650,16250,17450,17950,17600,100,4700,82,17594.68085106383,17700,17450,0,0,0,0,82.69500000000001,47.0,17450.0
TCR,3680,3200,3440,3440,0,0,0,0,0.0,0,0,0,0,73598,5082863,0.0,0.0,3450.0
TCO,18450,16050,17250,17250,16800,3100,319700,5423,16962.777604003753,17350,16800,18100,3900,8914019,9168390,5423.17,3197.0,17250.0
TCM,49300,42900,46100,46100,46800,28300,1499900,69722,46484.43229548637,46800,46100,12400,0,1366322,50977741,69722.65000000001,14999.0,46100.0
TCL,37700,32800,35250,35250,35300,100,5200,182,35144.23076923077,35350,35050,1700,0,11170671,14777633,182.75,52.0,35250.0
TCI,9160,7980,8570,8570,8570,6600,349200,2946,8436.426116838487,8580,8290,16700,0,109628631,115620964,2946.21,3492.0,8570.0
TCH,18550,16150,17350,17350,17350,233200,2872600,49859,17356.749982594167,17500,17250,44800,205508,302282009,340790079,49859.265000000276,28726.0,17350.0
TCD,5450,4750,5100,5100,5070,79500,666800,3377,5064.487102579484,5150,5000,600,1400,163504838,164552114,3377.070000000002,6668.0,5100.0
TCB,26100,22700,24400,24400,24650,400200,21677200,531905,24537.532522650527,24750,24300,11040900,3047000,52632499,1584143561,531905.5900000156,216772.0,24400.0
TBC,44200,38500,41350,41350,40000,1900,3000,120,40000.0,40050,40000,0,0,30182596,31115000,120.005,30.0,41350.0
SZL,45400,39500,42450,42450,42400,100,1100,46,42400.00000000001,42400,42400,0,0,0,0,46.64000000000001,11.0,42450.0
SZC,38800,33800,36300,36300,37550,81100,2053100,76418,37220.78807656714,37550,36650,452200,82390,30646297,35997172,76418.17500000003,20531.0,36300.0
SVT,11950,10450,11200,11200,11200,300,1700,19,11200.0,11200,11200,0,0,8564236,8655489,19.04,17.0,11200.0
SVI,72700,63300,68000,68000,0,0,0,0,0.0,0,0,0,0,641790,12832437,0.0,0.0,0.0
SVD,3350,2930,3140,3140,3180,400,27500,85,3090.909090909091,3200,3030,1500,0,13472401,13526894,85.84600000000002,275.0,3140.0
SVC,26750,23250,25000,25000,0,0,0,0,0.0,0,0,0,0,31498592,32648976,0.0,0.0,26800.0
STK,27350,23850,25600,25600,25650,700,14400,369,25625.0,25800,25600,0,0,80612658,96636924,369.295,144.0,25600.0
STG,45600,39700,42650,42650,42650,100,300,12,42650.0,42650,42650,0,0,3883500,33406141,12.794999999999998,3.0,42650.0
STB,36050,31350,33700,33700,34150,1489300,17686600,600957,33978.0964119729,34300,33600,3678900,5158000,108660479,565564714,600957.0699999963,176866.0,33700.0
ST8,8220,7160,7690,7690,7700,4200,141200,1087,7698.300283286119,7770,7650,0,0,12697738,12860451,1087.435,1412.0,7690.0
SSI,29300,25500,27400,27400,27300,1337800,17220400,470424,27317.83233838935,27600,27100,2613490,4131306,855657198,1511130137,470424.4899999986,172204.0,27400.0
SSC,35300,30700,33000,33000,33500,100,400,13,33550.0,33600,33500,0,0,7220396,7346259,13.42,4.0,33000.0
